Начало простоя,Длительность,Название детали,Поломка
2020-01-08 02:04:44,4,Дроссели - №17,1
2020-01-09 02:04:44,0,Нет поломки,0
2020-01-10 02:04:44,0,Нет поломки,0
2020-01-11 02:04:44,0,Нет поломки,0
2020-01-12 02:04:44,0,Нет поломки,0
2020-01-13 02:04:44,0,Нет поломки,0
2020-01-14 02:04:44,0,Нет поломки,0
2020-01-15 02:04:44,0,Нет поломки,0
2020-01-16 02:04:44,0,Нет поломки,0
2020-01-17 02:04:44,0,Нет поломки,0
2020-01-18 02:04:44,0,Нет поломки,0
2020-01-19 02:04:44,0,Нет поломки,0
2020-01-20 02:04:44,0,Нет поломки,0
2020-01-21 02:04:44,0,Нет поломки,0
2020-01-22 02:04:44,0,Нет поломки,0
2020-01-23 02:04:44,0,Нет поломки,0
2020-01-24 02:04:44,0,Нет поломки,0
2020-01-25 02:04:44,0,Нет поломки,0
2020-01-26 02:04:44,0,Нет поломки,0
2020-01-27 02:04:44,0,Нет поломки,0
2020-01-28 09:11:45,9,Ролик - №1,1
2020-01-29 09:11:45,0,Нет поломки,0
2020-01-30 09:11:45,0,Нет поломки,0
2020-01-31 09:11:45,0,Нет поломки,0
2020-02-01 09:11:45,0,Нет поломки,0
2020-02-02 09:11:45,0,Нет поломки,0
2020-02-03 09:11:45,0,Нет поломки,0
2020-02-04 09:11:45,0,Нет поломки,0
2020-02-05 10:40:01,2,Дроссель - №89,1
2020-02-06 10:59:58,4,Дроссель - №105,1
2020-02-06 19:02:48,2,Тормозная пластина - №76,1
2020-02-08 04:00:32,7,Пластина и дроссель -,1
2020-02-09 04:00:32,0,Нет поломки,0
2020-02-10 04:00:32,0,Нет поломки,0
2020-02-11 04:00:32,0,Нет поломки,0
2020-02-12 04:00:32,0,Нет поломки,0
2020-02-13 04:00:32,0,Нет поломки,0
2020-02-14 04:00:32,0,Нет поломки,0
2020-02-15 04:00:32,0,Нет поломки,0
2020-02-16 04:00:32,0,Нет поломки,0
2020-02-17 04:00:32,0,Нет поломки,0
2020-02-18 04:00:32,0,Нет поломки,0
2020-02-19 04:00:32,0,Нет поломки,0
2020-02-20 04:00:32,0,Нет поломки,0
2020-02-21 04:00:32,0,Нет поломки,0
2020-02-22 04:00:32,0,Нет поломки,0
2020-02-23 04:00:32,0,Нет поломки,0
2020-02-24 04:00:32,0,Нет поломки,0
2020-02-25 04:00:32,0,Нет поломки,0
2020-02-26 04:00:32,0,Нет поломки,0
2020-02-27 04:35:28,2,-,1
